song_title,artist,country,language,fundamental_freq,freq_e_1,freq_e_2,freq_e_3,key,duration,zero_crossing_rate,mfcc_mean,mfcc_std,tempo,rms_energy,track_type
[도깨비 OST Part 4] 크러쉬 (Crush) - Beautiful MV (ENG Sub),크러쉬 (Crush),South Korea,Korean,115.5278982,102250832,89264960,83837416,F,227.602,0.032199972,3.794714451,70.61695862,108.1730769,0.247304931,0
[도깨비 OST Part 4] 크러쉬 (Crush) - Beautiful MV (ENG Sub),크러쉬 (Crush),South Korea,Korean,245.6401738,56013456,45843028,44158332,C,227.6020181,0.112359655,-18.58298111,82.08730316,206.71875,0.142144233,1
[도깨비 OST Part 4] 크러쉬 (Crush) - Beautiful MV (ENG Sub),크러쉬 (Crush),South Korea,Korean,100.7638785,31495908,28580260,21871376,F,227.6020181,0.021838812,-2.151723146,100.6210938,54.97839096,0.112287089,2
王心凌 Cyndi Wang –〈愛你 Love You〉(feat. Jessica) Official Live Music Video,王心凌 Cyndi Wang,China,Chinese,177.0448346,142132880,102592608,101980520,F,214.761375,0.061592554,6.979189873,52.28639984,100.4464286,0.237727508,0
王心凌 Cyndi Wang –〈愛你 Love You〉(feat. Jessica) Official Live Music Video,王心凌 Cyndi Wang,China,Chinese,228.1926558,30582108,18779342,17295692,F,214.7613832,0.101138438,-20.32115364,79.27185059,99.38401442,0.125862345,1
王心凌 Cyndi Wang –〈愛你 Love You〉(feat. Jessica) Official Live Music Video,王心凌 Cyndi Wang,China,Chinese,86.24978165,100366448,79847416,58585976,C,214.7613832,0.050901743,4.484035969,63.62122726,99.38401442,0.155608922,2
Eagles - Hotel California (Official Audio),Eagles,United States,English,91.66873943,33269704,32587728,26163970,F#,391.3375208,0.063467512,-1.561283946,74.01276398,148.0263158,0.095437631,0
Eagles - Hotel California (Official Audio),Eagles,United States,English,438.8622682,1437675.5,1362988.25,1339260.5,F#,391.3375283,0.356151819,-40.03807449,144.5832977,147.65625,0.02007002,1
Eagles - Hotel California (Official Audio),Eagles,United States,English,92.8128924,25069592,23759814,20856812,F#,391.3375283,0.063505823,-2.781685352,78.89537048,147.65625,0.079745993,2
紅玫瑰 (國),Eason Chan,China,Chinese,100.5845182,79787240,66265864,58059936,E,239.9733333,0.035957406,2.217150211,75.08137512,127.8409091,0.225975573,0
紅玫瑰 (國),Eason Chan,China,Chinese,324.0339439,39807860,28648436,21405388,C,239.9733333,0.180226216,-20.25470924,104.0682983,126.0480183,0.111251459,1
紅玫瑰 (國),Eason Chan,China,Chinese,110.3881912,42867996,34487048,24373430,E,239.9733333,0.034395882,-1.990239263,87.46678162,129.1992188,0.128989115,2
Ed Sheeran - Shivers [Official Video],Ed Sheeran,United Kingdom,English,110.1166583,240236880,168794384,127834984,D,237.7839583,0.08841325,2.850624561,57.91230392,140.625,0.282138079,0
Ed Sheeran - Shivers [Official Video],Ed Sheeran,United Kingdom,English,239.2330039,16572577,16231702,15406525,D,237.7839456,0.182974733,-18.39723587,81.09719086,139.6748311,0.123888172,1
Ed Sheeran - Shivers [Official Video],Ed Sheeran,United Kingdom,English,125.6563091,114721904,71580704,61041844,A,237.7839456,0.084419995,-3.060329914,78.91242218,93.96306818,0.139463007,2
Ed Sheeran - The A Team [Official Music Video],Ed Sheeran,United Kingdom,English,178.0987482,156162416,131789920,116653832,A,289.5644583,0.04676503,3.523420572,74.03629303,85.22727273,0.234789699,0
Ed Sheeran - The A Team [Official Music Video],Ed Sheeran,United Kingdom,English,416.4954984,22362598,15747709,15094359,C#,289.5644444,0.174224964,-22.71946907,95.21860504,114.84375,0.083517082,1
Ed Sheeran - The A Team [Official Music Video],Ed Sheeran,United Kingdom,English,171.0062189,89820344,87646360,84596088,A,289.5644444,0.02830009,-0.623064399,98.76158905,84.72079918,0.166848883,2
Ellie Goulding - Love Me Like You Do (Official Audio),Ellie Goulding,United Kingdom,English,130.8621729,115630392,66466308,57811416,A#,253.4458125,0.047604,0.206665099,73.81877899,95.33898305,0.170468614,0
Ellie Goulding - Love Me Like You Do (Official Audio),Ellie Goulding,United Kingdom,English,295.5416392,23331822,14933648,8849902,A#,253.4458277,0.119220317,-25.11711502,90.36306763,184.5703125,0.091005765,1
Ellie Goulding - Love Me Like You Do (Official Audio),Ellie Goulding,United Kingdom,English,111.4539511,100193008,61061348,38536204,F,253.4458277,0.035368843,-1.64183259,85.89949799,95.703125,0.11887534,2
F.I.R. - Crescent Moon Bay (Audio),F.I.R.,Taiwan,Chinese,146.061746,127965576,83009152,73643592,A,300.5707083,0.058248285,5.683997631,58.27793503,86.53846154,0.21286571,0
F.I.R. - Crescent Moon Bay (Audio),F.I.R.,Taiwan,Chinese,285.5800986,19069744,17772558,15053034,A,300.5707256,0.182208702,-25.51955032,88.37701416,172.265625,0.105716027,1
F.I.R. - Crescent Moon Bay (Audio),F.I.R.,Taiwan,Chinese,116.6184171,84732040,64207580,39167760,A,300.5707256,0.053595798,3.014496803,72.66854095,87.59269068,0.13849473,2
Gloria Gaynor - I Will Survive,Gloria Gaynor,United States,English,123.9602663,11281285,9133233,6547288,E,194.3626458,0.085300392,-2.895443916,75.69429016,114.7959184,0.069176972,0
Gloria Gaynor - I Will Survive,Gloria Gaynor,United States,English,277.1938356,1309118.375,1168995.125,1079817.625,E,194.3626531,0.15909823,-35.90291977,122.0018463,114.84375,0.034566402,1
Gloria Gaynor - I Will Survive,Gloria Gaynor,United States,English,92.03105042,9719601,7441271.5,6737800.5,E,194.3626531,0.090671367,-4.105121136,83.25518036,114.84375,0.050567117,2
[MV] Gummy(거미) - You Are My Everything l Descendants of the Sun 태양의 후예 OST,Gummy(거미),South Korea,Korean,128.8673638,72256560,59987064,42155876,C#,250.9264583,0.042750876,-0.534343541,76.16728973,67.77108434,0.182322085,0
[MV] Gummy(거미) - You Are My Everything l Descendants of the Sun 태양의 후예 OST,Gummy(거미),South Korea,Korean,308.1658789,13371555,11831133,9488045,F#,250.9264626,0.151594769,-27.58062172,91.88201141,151.9990809,0.093900084,1
[MV] Gummy(거미) - You Are My Everything l Descendants of the Sun 태양의 후예 OST,Gummy(거미),South Korea,Korean,103.2260485,38030708,23929696,21012148,C#,250.9264626,0.035119743,-4.919230461,99.39930725,67.99958882,0.096135043,2
Harry Styles - Watermelon Sugar (Official Video),Harry Styles,United Kingdom,English,106.9477607,85879576,65406776,50024028,D,188.8246875,0.058130099,1.944868565,61.90255356,95.33898305,0.231487349,0
Harry Styles - Watermelon Sugar (Official Video),Harry Styles,United Kingdom,English,280.6882728,24718076,15553877,15477851,D,188.8246939,0.17013511,-20.93928528,85.26281738,97.50884434,0.124484412,1
Harry Styles - Watermelon Sugar (Official Video),Harry Styles,United Kingdom,English,100.7724962,51279668,43501880,31366896,C,188.8246939,0.089170753,-2.266907692,80.44729614,95.703125,0.122735173,2
田馥甄 Hebe Tien [小幸运] Lyrics Chinese _ Pinyin _ English （Simplified mandarin version),田馥甄,China,Chinese,132.5288806,29841210,27516166,27396486,C,270.3499375,0.052739981,-3.776730061,78.60205078,156.25,0.13005729,0
田馥甄 Hebe Tien [小幸运] Lyrics Chinese _ Pinyin _ English （Simplified mandarin version),田馥甄,China,Chinese,315.5137922,17636798,16726338,12394661,F,270.3499546,0.155012114,-28.71667862,96.47901154,156.6051136,0.080388278,1
田馥甄 Hebe Tien [小幸运] Lyrics Chinese _ Pinyin _ English （Simplified mandarin version),田馥甄,China,Chinese,108.7033578,26238958,23388800,16358941,C,270.3499546,0.038149932,-5.973989964,95.13625336,79.50721154,0.084656522,2
[IU] 'Love poem' Live Clip,IU,South Korea,Korean,108.5044899,90536312,89695504,83608016,F#,304.0213333,0.042401067,-0.167151198,78.97525024,125,0.222738028,0
[IU] 'Love poem' Live Clip,IU,South Korea,Korean,468.8241031,23943288,23148550,20250404,B,304.0213379,0.189656776,-24.80890083,95.66078949,117.4538352,0.102125898,1
[IU] 'Love poem' Live Clip,IU,South Korea,Korean,96.87719249,44228084,38358368,35538904,F#,304.0213379,0.025795615,-4.695726395,101.2539444,123.046875,0.107039988,2
[MV] IU(아이유) _ Ending Scene(이런 엔딩),IU(아이유) _ Ending Scene(이런 엔딩),South Korea,Korean,136.1683911,24723896,20361408,19568486,F,249.2662132,0.044487809,-4.587863445,76.69526672,129.1992188,0.160858274,0
[MV] IU(아이유) _ Ending Scene(이런 엔딩),IU(아이유) _ Ending Scene(이런 엔딩),South Korea,Korean,431.5529556,14158886,12844459,12613789,G,249.2662132,0.189241652,-29.61418343,94.04283905,129.1992188,0.098888725,1
[MV] IU(아이유) _ Ending Scene(이런 엔딩),IU(아이유) _ Ending Scene(이런 엔딩),South Korea,Korean,100.0198155,13303037,12933904,10214521,F,249.2662132,0.027124773,-7.438363552,105.8273621,60.09265988,0.090887249,2
IU (아이유) - 'Good Day (좋은 날)' Lyrics [Han_Rom_Eng_가사],IU (아이유),South Korea,Korean,144.7079613,97766200,94839720,67843928,E,239.9898542,0.059602083,3.562957287,64.45214844,127.8409091,0.242918819,0
IU (아이유) - 'Good Day (좋은 날)' Lyrics [Han_Rom_Eng_가사],IU (아이유),South Korea,Korean,304.4869096,14444344,10162899,8190670.5,A,239.9898413,0.183396472,-26.91883469,89.73058319,126.0480183,0.105481245,1
IU (아이유) - 'Good Day (좋은 날)' Lyrics [Han_Rom_Eng_가사],IU (아이유),South Korea,Korean,179.7554902,63274256,53525208,49171424,E,239.9898413,0.048709999,1.11283493,75.05059052,129.1992188,0.151569456,2
IU - 'My Sea' Lyrics Color Coded (Han_Rom_Eng),IU,South Korea,Korean,143.1880025,53602172,45073120,38017192,E,337.0144375,0.04674766,-2.617194653,80.60900879,133.9285714,0.132378384,0
IU - 'My Sea' Lyrics Color Coded (Han_Rom_Eng),IU,South Korea,Korean,298.3862497,13827629,9367523,7533899,B,337.0144444,0.1412703,-27.52556229,95.10928345,132.5120192,0.076445147,1
IU - 'My Sea' Lyrics Color Coded (Han_Rom_Eng),IU,South Korea,Korean,140.0614922,43806024,43111328,34580836,E,337.0144444,0.023314122,-5.619101524,104.9129639,135.9991776,0.089071013,2
Idina Menzel - Let It Go (from Frozen) (Official Video),Idina Menzel,United States,English,147.1969055,3490219.75,2668409.75,1765163.625,G#,225.187125,0.044941811,-11.2130909,99.37316895,137.195122,0.041345399,0
Idina Menzel - Let It Go (from Frozen) (Official Video),Idina Menzel,United States,English,279.2178654,949499.5625,909785.625,729056.375,G#,225.1871429,0.155714091,-39.32984543,131.3577728,147.65625,0.023437738,1
Idina Menzel - Let It Go (from Frozen) (Official Video),Idina Menzel,United States,English,94.9019095,2776932.25,2598194.25,1610560.25,F,225.1871429,0.037508141,-12.98512363,110.9733429,135.9991776,0.028273387,2
"Idina Menzel, AURORA - Into the Unknown (From _Frozen 2_)",Idina Menzel; AURORA,United States,English,221.9538724,11070979,9255823,8604319,D#,209.25825,0.043963681,-10.29297352,93.26851654,108.1730769,0.081474349,0
"Idina Menzel, AURORA - Into the Unknown (From _Frozen 2_)",Idina Menzel; AURORA,United States,English,314.5847631,6647434.5,6195716,5931858.5,D#,209.258254,0.10611515,-34.93460464,112.6124115,107.6660156,0.055927858,1
